Computation of your payment for this week
------------------------------------
|Rate(cts/hr)| # Hours | Pay(Pesos) |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|         10 |      10 |       1.00 |
|     
